@ Measure_optics:version %s "0.2.0"
@ Command %s "/usr/bin/python2 '/home/akoval/work_local/git/Beta-Beat.src/measure_optics.py' '--model' 'model/' '--accel' 'skekb' '--files' 'output/harmonic_output/HER_2019_05_20_18_30_00.sdds' '--output' 'output/phase_output/HER_2019_05_20_18_30_00.sdds/'"
@ CWD %s "/home/akoval/work_local/git/SKEKB_Kmod"
@ Date %s "14. June 2019, 13:57:44"
@ Model_directory %s "model/"
@ TABLE %s "ORBIT"
@ TYPE %s "ORBIT"
@ Q1 %le 0.5439879633224035
@ Q2 %le 0.6049067091484432
@ FILENAME %s "getCOy.out"
*                 NAME                    S                COUNT                    Y                 STDY                 YMDL               MUYMDL               DELTAY
$                   %s                  %le                   %d                  %le                  %le                  %le                  %le                  %le
                MQC1LE            0.5300002                    1       1.037612917459                  nan                  nan            0.2490992                  nan
                MQC2LE            2.2500008                    1       0.505871527986                  nan                  nan            0.2499778                  nan
               MQLC7LE           27.2720861                    1       1.927853468209                  nan                  nan            0.7492946                  nan
               MQLB1LE           55.2235731                    1      0.4911498164077                  nan                  nan            1.2500394                  nan
               MQLB4LE           77.1787307                    1      0.4899823322639                  nan                  nan            1.9465966                  nan
               MQLA5LE          119.0986538                    1     0.09918726744421                  nan                  nan              2.94926                  nan
                MQD3E1          164.5639584                    1      0.3103008841718                  nan                  nan            3.4064553                  nan
                MQEAE4          230.8020191                    1      0.3680886560389                  nan                  nan            4.3815318                  nan
                MQD3E4          270.0136808                    1       1.298947809905                  nan                  nan            5.0411482                  nan
              MQTATNE2          397.7476034                    1      0.8257905428714                  nan                  nan            6.6685508                  nan
                MQD3E8          511.9225329                    1     -0.1043747840019                  nan                  nan            8.3656416                  nan
               MQEAE11          597.0252838                    1       1.172211517859                  nan                  nan            9.6370935                  nan
               MQD3E14         1023.1059944                    1     -0.1494566438984                  nan                  nan           14.9882786                  nan
              MQTANFE1         1107.5016074                    1      -0.125103268749                  nan                  nan           16.1739407                  nan
               MQD3E18         1265.0148465                    1       1.423335348824                  nan                  nan            18.312772                  nan
               MQEAE22         1301.4735906                    1      0.2515710784268                  nan                  nan           18.7764199                  nan
                 MQI6E         1404.3012987                    1        0.11776347342                  nan                  nan           20.2018289                  nan
                 MQI5E         1418.7440064                    1        1.10760068972                  nan                  nan           20.2546404                  nan
                 MQI4E         1424.1361014                    1      0.7092886761631                  nan                  nan           20.2734103                  nan
                MQX2RE         1494.6206604                    1      0.7048620418209                  nan                  nan           21.2341795                  nan
                 MQM2E         1564.3492168                    1      0.1071392975812                  nan                  nan           22.0286912                  nan
               MQD3E21         1671.2575666                    1       2.267912340695                  nan                  nan           23.4501631                  nan
               MQD3E23         1746.9279724                    1      -1.621333572786                  nan                  nan           24.5734273                  nan
              MQTAFOE1         1861.1278611                    1     -0.6173198007754                  nan                  nan           26.2818318                  nan
              MQTAFOE2         1905.3942301                    1      0.6057217398449                  nan                  nan           26.7136413                  nan
               MQEAE32         1980.3824571                    1      0.7931270076538                  nan                  nan           27.7624294                  nan
               MQD3E33         2501.9356578                    1      0.7068825413957                  nan                  nan           34.9378656                  nan
               MQEAE41         2541.1473195                    1       0.440072716663                  nan                  nan           35.5974819                  nan
               MQLB1RE         2960.9918734                    1     -0.4404702790268                  nan                  nan           42.3540933                  nan
               MQLC7RE         2989.1433603                    1      0.8900199017665                  nan                  nan            42.854773                  nan
               MQLC3RE         3003.3799331                    1      -1.382068640195                  nan                  nan           43.3284036                  nan
                MQC2RE         3013.8146988                    1     -0.6214549676819                  nan                  nan           43.3540103                  nan
                MQC1RE         3015.7846995                    1       0.253623463104                  nan                  nan           43.3550008                  nan
