@ Measure_optics:version %s "0.2.0"
@ Command %s "/usr/bin/python2 '/home/akoval/work_local/git/Beta-Beat.src/measure_optics.py' '--model' 'model/' '--accel' 'skekb' '--files' 'output/harmonic_output/HER_2019_05_20_18_28_44.sdds' '--output' 'output/phase_output/HER_2019_05_20_18_28_44.sdds/'"
@ CWD %s "/home/akoval/work_local/git/SKEKB_Kmod"
@ Date %s "14. June 2019, 13:56:58"
@ Model_directory %s "model/"
@ FILENAME %s "getcoupleterms.out"
@ DQMIN %le -1.0
@ DQMINE %le 1.48323969742e-08
*                 NAME                    S                 DETC                DETCE                GAMMA               GAMMAE                  C11                  C12                  C21                  C22
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
               MQLC3LE           12.9355133                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
               MQLB4LE           77.1787307                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
                MQD3E8          511.9225329                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
               MQFRNE3          753.3246054                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
               MQD3E12          947.4355886                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
               MQEAE23         1350.1175975                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
                 MQM7E         1608.8759522                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
               MQEAE30          1813.166033                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
              MQTAFOE2         1905.3942301                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
               MQD3E29         2065.4852081                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
               MQD3E33         2501.9356578                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
               MQLA2RE         2920.9780873                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
               MQLB1RE         2960.9918734                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
