@ Measure_optics:version %s "0.2.0"
@ Command %s "/usr/bin/python2 '/home/akoval/work_local/git/Beta-Beat.src/measure_optics.py' '--model' 'model/' '--accel' 'skekb' '--files' 'output/harmonic_output/HER_2019_05_20_18_25_10.sdds' '--output' 'output/phase_output/HER_2019_05_20_18_25_10.sdds/'"
@ CWD %s "/home/akoval/work_local/git/SKEKB_Kmod"
@ Date %s "14. June 2019, 13:54:30"
@ Model_directory %s "model/"
@ TABLE %s "ORBIT"
@ TYPE %s "ORBIT"
@ Q1 %le 0.5448470705451594
@ Q2 %le 0.6122711524306976
@ FILENAME %s "getCOy.out"
*                 NAME                    S                COUNT                    Y                 STDY                 YMDL               MUYMDL               DELTAY
$                   %s                  %le                   %d                  %le                  %le                  %le                  %le                  %le
                MQC1LE            0.5300002                    1       1.003311904627                  nan                  nan            0.2490992                  nan
                MQC2LE            2.2500008                    1      0.4999977098054                  nan                  nan            0.2499778                  nan
               MQLC3LE           12.9355133                    1       1.185299985193                  nan                  nan            0.2953789                  nan
               MQLC7LE           27.2720861                    1       1.894936935293                  nan                  nan            0.7492946                  nan
               MQLB1LE           55.2235731                    1      0.4457807255183                  nan                  nan            1.2500394                  nan
               MQLA5LE          119.0986538                    1      0.1228015860528                  nan                  nan              2.94926                  nan
                MQD3E1          164.5639584                    1      0.3107493210129                  nan                  nan            3.4064553                  nan
                MQD3E4          270.0136808                    1        1.31566271971                  nan                  nan            5.0411482                  nan
              MQTATNE1          354.4092937                    1       1.246267672861                  nan                  nan            6.2268103                  nan
                MQEAE8          472.7108711                    1      -1.017858137219                  nan                  nan            7.7060253                  nan
                MQD3E8          511.9225329                    1    -0.09990014403945                  nan                  nan            8.3656416                  nan
               MQEAE11          597.0252838                    1       1.162679864432                  nan                  nan            9.6370935                  nan
               MQFRNE3          753.3246054                    1      0.3639789462752                  nan                  nan           11.4337841                  nan
               MQEAE13           881.197528                    1       1.508927170185                  nan                  nan           12.8899378                  nan
               MQD3E12          947.4355886                    1     0.08226799917865                  nan                  nan           13.8650143                  nan
               MQEAE16          983.8943327                    1     -0.4388239222395                  nan                  nan           14.3286622                  nan
               MQD3E14         1023.1059944                    1     -0.1434082012967                  nan                  nan           14.9882786                  nan
               MQEAE18         1059.5647385                    1      0.8267843549275                  nan                  nan           15.4519265                  nan
              MQTANFE1         1107.5016074                    1     -0.1276942000277                  nan                  nan           16.1739407                  nan
               MQD3E16         1189.3444407                    1       1.367618170035                  nan                  nan           17.1895078                  nan
               MQD3E18         1265.0148465                    1       1.435258843347                  nan                  nan            18.312772                  nan
               MQEAE22         1301.4735906                    1      0.2584690432286                  nan                  nan           18.7764199                  nan
               MQEAE23         1350.1175975                    1     0.07328067479936                  nan                  nan           19.5842239                  nan
                 MQI6E         1404.3012987                    1      0.1089967849651                  nan                  nan           20.2018289                  nan
                 MQI5E         1418.7440064                    1        1.09716013967                  nan                  nan           20.2546404                  nan
                 MQI4E         1424.1361014                    1      0.6863808065033                  nan                  nan           20.2734103                  nan
                MQX2RE         1494.6206604                    1      0.6942836325663                  nan                  nan           21.2341795                  nan
                 MQM2E         1564.3492168                    1     0.07510008313745                  nan                  nan           22.0286912                  nan
               MQD3E21         1671.2575666                    1       2.303143082566                  nan                  nan           23.4501631                  nan
               MQEAE27         1710.4692283                    1     -0.6738265488744                  nan                  nan           24.1097794                  nan
               MQD3E23         1746.9279724                    1      -1.586080452476                  nan                  nan           24.5734273                  nan
               MQEAE30          1813.166033                    1      0.5370203938469                  nan                  nan           25.5485039                  nan
               MQEAE32         1980.3824571                    1      0.7730626449975                  nan                  nan           27.7624294                  nan
               MQD3E29         2065.4852081                    1      0.1894774579686                  nan                  nan           29.0338813                  nan
               MQD3E33         2501.9356578                    1      0.6883659544272                  nan                  nan           34.9378656                  nan
              MQTAOTE1         2616.1355465                    1     0.08299546282134                  nan                  nan             36.64627                  nan
              MQTAOTE2         2660.4019155                    1      0.9690617315908                  nan                  nan           37.0780795                  nan
               MQEAE44         2735.3901425                    1      0.4338306668354                  nan                  nan           38.1268676                  nan
               MQEAE45         2784.0341494                    1      0.3050710668795                  nan                  nan           38.9346716                  nan
               MQD3E40           2850.27221                    1      -1.105349590545                  nan                  nan           39.9097482                  nan
               MQLA2RE         2920.9780873                    1       1.515358372036                  nan                  nan           41.0885679                  nan
               MQLB1RE         2960.9918734                    1     -0.4121756420214                  nan                  nan           42.3540933                  nan
               MQLC7RE         2989.1433603                    1      0.8594152304056                  nan                  nan            42.854773                  nan
               MQLC3RE         3003.3799331                    1       -1.33253596078                  nan                  nan           43.3284036                  nan
                MQC2RE         3013.8146988                    1      -0.607669975913                  nan                  nan           43.3540103                  nan
                MQC1RE         3015.7846995                    1      0.2426581235838                  nan                  nan           43.3550008                  nan
