@ Measure_optics:version %s "0.2.0"
@ Command %s "/usr/bin/python2 '/home/akoval/work_local/git/Beta-Beat.src/measure_optics.py' '--model' 'model/' '--accel' 'skekb' '--files' 'output/harmonic_output/HER_2019_05_20_18_26_02.sdds' '--output' 'output/phase_output/HER_2019_05_20_18_26_02.sdds/'"
@ CWD %s "/home/akoval/work_local/git/SKEKB_Kmod"
@ Date %s "14. June 2019, 13:54:45"
@ Model_directory %s "model/"
@ Q1 %le 0.5443252118326277
@ Q2 %le 0.6103323536269583
@ FILENAME %s "getphasey.out"
*                    S               MUYMDL                 NAME                NAME2                   S2               PHASEY               STDPHY               PHYMDL          DELTAPHASEY
$                  %le                  %le                   %s                   %s                  %le                  %le                  %le                  %le                  %le
             0.5300002            0.2490992               MQC1LE               MQC2LE            2.2500008      0.0223166722612                  nan            0.0008786      0.0214380722612
             2.2500008            0.2499778               MQC2LE              MQLC3LE           12.9355133      0.1180258999409                  nan            0.0454011      0.0726247999409
            12.9355133            0.2953789              MQLC3LE              MQLC7LE           27.2720861      0.3480615186274                  nan            0.4539157     -0.1058541813726
            27.2720861            0.7492946              MQLC7LE              MQLB1LE           55.2235731      0.5027844289053                  nan            0.5007448      0.0020396289053
            55.2235731            1.2500394              MQLB1LE              MQLB4LE           77.1787307      0.6795987718804                  nan            0.6965572    -0.01695842811963
            77.1787307            1.9465966              MQLB4LE              MQLA2LE           98.9121927      0.5639764967844                  nan            0.5067282     0.05724829678443
            98.9121927            2.4533248              MQLA2LE              MQLA5LE          119.0986538      0.5052005345308                  nan            0.4959352      0.0092653345308
           119.0986538              2.94926              MQLA5LE               MQD3E1          164.5639584      0.3954671093067                  nan            0.4571953     -0.0617281906933
           164.5639584            3.4064553               MQD3E1               MQD3E4          270.0136808      0.7224090878449                  nan            0.6346929      0.0877161878449
           270.0136808            5.0411482               MQD3E4             MQTATNE2          397.7476034       0.498431475187                  nan            0.6274026      -0.128971124813
           397.7476034            6.6685508             MQTATNE2               MQEAE8          472.7108711      0.1516291879214                  nan            0.0374745      0.1141546879214
           472.7108711            7.7060253               MQEAE8               MQD3E8          511.9225329      0.6285630496344                  nan            0.6596163     -0.0310532503656
           511.9225329            8.3656416               MQD3E8              MQEAE11          597.0252838       0.280948866456                  nan            0.2714519    0.009496966455999
           597.0252838            9.6370935              MQEAE11              MQDRNE5          781.6020054      0.1392167936583                  nan            0.0751517      0.0640650936583
           781.6020054           11.7122452              MQDRNE5              MQD3E12          947.4355886     0.09898495838463                  nan            0.1527691    -0.05378414161537
           947.4355886           13.8650143              MQD3E12              MQD3E14         1023.1059944      0.1153830994991                  nan            0.1232643   -0.007881200500929
          1023.1059944           14.9882786              MQD3E14             MQTANFE1         1107.5016074      0.1879307897874                  nan            0.1856621      0.0022686897874
          1107.5016074           16.1739407             MQTANFE1              MQD3E16         1189.3444407      0.0126571106694                  nan            0.0155671   -0.002909989330602
          1189.3444407           17.1895078              MQD3E16              MQD3E18         1265.0148465      0.1460178085229                  nan            0.1232642      0.0227536085229
          1265.0148465            18.312772              MQD3E18                MQI6E         1404.3012987      0.8009247370825                  nan            0.8890569     -0.0881321629175
          1404.3012987           20.2018289                MQI6E                MQI5E         1418.7440064      0.1121879510259                  nan            0.0528115      0.0593764510259
          1418.7440064           20.2546404                MQI5E                MQI4E         1424.1361014      0.9479558409045                  nan            0.0187699     -0.0708140590955
          1424.1361014           20.2734103                MQI4E               MQX2RE         1494.6206604      0.9987767007206                  nan            0.9607692      0.0380075007206
          1494.6206604           21.2341795               MQX2RE                MQM2E         1564.3492168      0.8249146404552                  nan            0.7945117      0.0304029404552
          1564.3492168           22.0286912                MQM2E                MQM7E         1608.8759522      0.5950471415242                  nan            0.6337436     -0.0386964584758
          1608.8759522           22.6624348                MQM7E              MQEAE27         1710.4692283      0.4651415643026                  nan            0.4473446      0.0177969643026
          1710.4692283           24.1097794              MQEAE27              MQD3E23         1746.9279724      0.4819152435666                  nan            0.4636479      0.0182673435666
          1746.9279724           24.5734273              MQD3E23              MQEAE29         1786.1396341      0.6814903849225                  nan            0.6596164      0.0218739849225
          1786.1396341           25.2330437              MQEAE29              MQEAE30          1813.166033      0.3627248092934                  nan            0.3154602      0.0472646092934
           1813.166033           25.5485039              MQEAE30             MQTAFOE2         1905.3942301      0.0379800249767                  nan            0.1651374     -0.1271573750233
          1905.3942301           26.7136413             MQTAFOE2              MQD3E29         2065.4852081      0.3880119366399                  nan              0.32024      0.0677719366399
          2065.4852081           29.0338813              MQD3E29              MQEAE39         2465.4769137      0.3545542553338                  nan            0.4403364     -0.0857821446662
          2465.4769137           34.4742177              MQEAE39              MQD3E33         2501.9356578      0.5162257809876                  nan            0.4636479     0.05257788098755
          2501.9356578           34.9378656              MQD3E33              MQEAE41         2541.1473195      0.6312605862896                  nan            0.6596163    -0.02835571371036
          2541.1473195           35.5974819              MQEAE41             MQTAOTE1         2616.1355465      0.0935118185142                  nan            0.0487881      0.0447237185142
          2616.1355465             36.64627             MQTAOTE1             MQTAOTE2         2660.4019155      0.4974907090675                  nan            0.4318095      0.0656812090675
          2660.4019155           37.0780795             MQTAOTE2              MQEAE45         2784.0341494      0.7318478004832                  nan            0.8565921     -0.1247442995168
          2784.0341494           38.9346716              MQEAE45              MQD3E40           2850.27221      0.0516227657338                  nan            0.9750766      0.0765461657338
            2850.27221           39.9097482              MQD3E40              MQLB1RE         2960.9918734      0.4300187971165                  nan            0.4443451     -0.0143263028835
          2960.9918734           42.3540933              MQLB1RE              MQLC7RE         2989.1433603      0.5051107119826                  nan            0.5006797    0.004431011982561
          2989.1433603            42.854773              MQLC7RE              MQLC3RE         3003.3799331      0.4636599877181                  nan            0.4736306    -0.00997061228186
          3003.3799331           43.3284036              MQLC3RE               MQC2RE         3013.8146988       0.008097460637                  nan            0.0256067      -0.017509239363
          3013.8146988           43.3540103               MQC2RE               MQC1RE         3015.7846995      0.0187338501125                  nan   0.0009905000000003      0.0177433501125
