@ Measure_optics:version %s "0.2.0"
@ Command %s "/usr/bin/python2 '/home/akoval/work_local/git/Beta-Beat.src/measure_optics.py' '--model' 'model/' '--accel' 'skekb' '--files' 'output/harmonic_output/HER_2019_05_20_18_20_44.sdds' '--output' 'output/phase_output/HER_2019_05_20_18_20_44.sdds/'"
@ CWD %s "/home/akoval/work_local/git/SKEKB_Kmod"
@ Date %s "14. June 2019, 13:52:25"
@ Model_directory %s "model/"
@ FILENAME %s "getcouple.out"
@ CG %le nan
@ CG_std %le nan
@ QG %le nan
@ Q1F %le 0.5437650552882722
@ Q2F %le 0.6117814016774167
*                 NAME                    S                COUNT               F1001W               FWSTD1               F1001R               F1001I               F1010W               FWSTD2               F1010R               F1010I                Q1001             Q1001STD                Q1010             Q1010STD            MDLF1001R            MDLF1001I            MDLF1010R            MDLF1010I
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
              "MQEAE6"          306.4724249                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.2647295123468     0.02395521066548      0.2668753653114     0.02089035342252                  nan                  nan                  nan                  nan
             "MQEAE11"          597.0252838                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan       0.888313568082      0.1522124904777      0.5946361283181      0.1902544878974                  nan                  nan                  nan                  nan
             "MQR2NE1"          696.7698054                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan       0.436295969233     0.02739069010359     0.01927337357965     0.09523201978893                  nan                  nan                  nan                  nan
             "MQEAE18"         1059.5647385                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.8538541350298      0.1328809784751      0.6651207652021      0.1720080833814                  nan                  nan                  nan                  nan
            "MQTAFOE2"         1905.3942301                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.3263354413214      0.2128688990413        0.39201563871      0.1587958654007                  nan                  nan                  nan                  nan
             "MQEAE32"         1980.3824571                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.8761674426095    0.003840576548756      0.7438252139018      0.2042310236136                  nan                  nan                  nan                  nan
             "MQD3E33"         2501.9356578                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.8395545266014      0.1757767732882      0.8741585276064      0.1819303363205                  nan                  nan                  nan                  nan
             "MQD3E40"           2850.27221                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.6093272390056      0.1262474968882     0.08135608644235      0.1846046180352                  nan                  nan                  nan                  nan
             "MQLA2RE"         2920.9780873                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.5687873780564     0.00856714595701      0.9939450359706      0.1038269784638                  nan                  nan                  nan                  nan
             "MQLB8RE"         2942.8131119                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.2938608239137      0.1883120993057      0.3608819194831     0.06364809367672                  nan                  nan                  nan                  nan
             "MQLB1RE"         2960.9918734                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan       0.824403782551     0.07815499269489      0.6125457304214     0.01396146878246                  nan                  nan                  nan                  nan
             "MQLC7RE"         2989.1433603                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.8880273236168      0.1511783812115      0.5501928989134     0.04639564484937                  nan                  nan                  nan                  nan
