@ Measure_optics:version %s "0.2.0"
@ Command %s "/usr/bin/python2 '/home/akoval/work_local/git/Beta-Beat.src/measure_optics.py' '--model' 'model/' '--accel' 'skekb' '--files' 'output/harmonic_output/HER_2019_05_20_18_20_44.sdds' '--output' 'output/phase_output/HER_2019_05_20_18_20_44.sdds/'"
@ CWD %s "/home/akoval/work_local/git/SKEKB_Kmod"
@ Date %s "14. June 2019, 13:52:25"
@ Model_directory %s "model/"
@ FILENAME %s "getcoupleterms.out"
@ DQMIN %le -1.0
@ DQMINE %le 1.48323969742e-08
*                 NAME                    S                 DETC                DETCE                GAMMA               GAMMAE                  C11                  C12                  C21                  C22
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
                MQEAE6          306.4724249                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
               MQEAE11          597.0252838                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
               MQR2NE1          696.7698054                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
               MQEAE18         1059.5647385                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
              MQTAFOE2         1905.3942301                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
               MQEAE32         1980.3824571                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
               MQD3E33         2501.9356578                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
               MQD3E40           2850.27221                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
               MQLA2RE         2920.9780873                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
               MQLB8RE         2942.8131119                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
               MQLB1RE         2960.9918734                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
               MQLC7RE         2989.1433603                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
