@ Measure_optics:version %s "0.2.0"
@ Command %s "/usr/bin/python2 '/home/akoval/work_local/git/Beta-Beat.src/measure_optics.py' '--model' 'model/' '--accel' 'skekb' '--files' 'output/harmonic_output/HER_2019_05_20_18_30_21.sdds' '--output' 'output/phase_output/HER_2019_05_20_18_30_21.sdds/'"
@ CWD %s "/home/akoval/work_local/git/SKEKB_Kmod"
@ Date %s "14. June 2019, 13:58:16"
@ Model_directory %s "model/"
@ Q1 %le 0.5440298346613024
@ Q2 %le 0.6077041672656596
@ RMSbetabeat %le 1.9273941168095632
@ RescalingFactor %le 0.6664146789138453
@ FILENAME %s "getampbetay.out"
*                 NAME                    S                COUNT                 BETY              BETYSTD              BETYMDL               MUYMDL            DELTABETY              BETYRES           BETYSTDRES
$                   %s                  %le                   %d                  %le                  %le                  %le                  %le                  %le                  %le                  %le
                MQC1LE            0.5300002                    1       3.102097313145                    0           93.6285972            0.2490992     -0.9668680573466       2.067283184899                    0
                MQC2LE            2.2500008                    1       8.347297116177                    0          291.1407337            0.2499778     -0.9713289960835       5.562761327475                    0
               MQLC3LE           12.9355133                    1       24.58788775749                    0            7.6774363            0.2953789       2.202616967006       16.38572932508                    0
               MQLC7LE           27.2720861                    1       10.20576545101                    0          227.9670433            0.7492946     -0.9552313996652       6.801271906105                    0
               MQLB1LE           55.2235731                    1       68.41941412804                    0          227.9626232            1.2500394     -0.6998656482909       45.59570189761                    0
               MQLB4LE           77.1787307                    1        11.3421037836                    0           18.1118897            1.9465966      -0.373775791954       7.558544451154                    0
               MQLA2LE           98.9121927                    1      0.8351434961575                    0           17.1404258            2.4533248     -0.9512763856685      0.5565518848388                    0
               MQLA5LE          119.0986538                    1       25.54105572371                    0          234.1217208              2.94926     -0.8909069366292       17.02093444924                    0
                MQD3E1          164.5639584                    1       16.09069285944                    0           20.9498176            3.4064553     -0.2319411478101       10.72307391543                    0
                MQEAE4          230.8020191                    1      0.7100284596517                    0            7.6858431            4.3815318      -0.907618663247      0.4731733879585                    0
                MQD3E4          270.0136808                    1       18.49126162729                    0           20.9498176            5.0411482     -0.1173545287913       12.32284818006                    0
                MQEAE6          306.4724249                    1       5.018597656228                    0            7.6858431            5.5047961     -0.3470335536478       3.344467145673                    0
              MQTATNE1          354.4092937                    1       8.351763566649                    0           14.5078121            6.2268103     -0.4243264588015       5.565737835633                    0
              MQTATNE2          397.7476034                    1       2.127271417568                    0           14.5078121            6.6685508     -0.8533706252256       1.417644898701                    0
                MQEAE8          472.7108711                    1       2.020983847756                    0            7.6858431            7.7060253     -0.7370511183405       1.346813301992                    0
                MQD3E8          511.9225329                    1       6.180687590961                    0           20.9498176            8.3656416     -0.7049765439981       4.118900936397                    0
               MQEAE10          548.3812769                    1       4.103877337806                    0            7.6858431            8.8292895     -0.4660472137656       2.734884098376                    0
               MQEAE11          597.0252838                    1       1.313269744641                    0            7.6858431            9.6370935     -0.8291313356838      0.8751822352022                    0
               MQR2NE1          696.7698054                    1       20.78009341618                    0            9.2517301             10.85891       1.246076484243       13.84815928174                    0
               MQFRNE3          753.3246054                    1       134.4326055783                    0            9.2517568           11.4337841       13.53049496267       89.58786168201                    0
               MQDRNE5          781.6020054                    1       8.400336911604                    0           30.1970047           11.7122452     -0.7218155576999       5.598107825714                    0
               MQEAE13           881.197528                    1       8.318200859442                    0            7.6858431           12.8899378     0.08227565293941       5.543371154886                    0
               MQD3E12          947.4355886                    1       30.98758989399                    0           20.9498176           13.8650143      0.4791341139883       20.65058476952                    0
               MQEAE16          983.8943327                    1       28.50079829426                    0            7.6858431           14.3286622       2.708220155348       18.99335034406                    0
               MQD3E14         1023.1059944                    1       6.429866240313                    0           20.9498176           14.9882786     -0.6930824715002       4.284957245997                    0
               MQEAE18         1059.5647385                    1       16.00945515771                    0            7.6858431           15.4519265       1.082979700394       10.66893591851                    0
