@ Measure_optics:version %s "0.2.0"
@ Command %s "/usr/bin/python2 '/home/akoval/work_local/git/Beta-Beat.src/measure_optics.py' '--model' 'model/' '--accel' 'skekb' '--files' 'output/harmonic_output/HER_2019_05_20_18_28_23.sdds' '--output' 'output/phase_output/HER_2019_05_20_18_28_23.sdds/'"
@ CWD %s "/home/akoval/work_local/git/SKEKB_Kmod"
@ Date %s "14. June 2019, 13:56:28"
@ Model_directory %s "model/"
@ FILENAME %s "getcoupleterms.out"
@ DQMIN %le -1.0
@ DQMINE %le 1.48323969742e-08
*                 NAME                    S                 DETC                DETCE                GAMMA               GAMMAE                  C11                  C12                  C21                  C22
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
                MQC2LE            2.2500008                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
               MQLC3LE           12.9355133                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
               MQLC7LE           27.2720861                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
                MQD3E4          270.0136808                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
               MQR2NE1          696.7698054                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
               MQEAE20         1225.8031848                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
              MQTAFOE1         1861.1278611                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
              MQTAFOE2         1905.3942301                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
               MQEAE45         2784.0341494                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
               MQD3E40           2850.27221                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
