@ Measure_optics:version %s "0.2.0"
@ Command %s "/usr/bin/python2 '/home/akoval/work_local/git/Beta-Beat.src/measure_optics.py' '--model' 'model/' '--accel' 'skekb' '--files' 'output/harmonic_output/HER_2019_05_20_18_28_04.sdds' '--output' 'output/phase_output/HER_2019_05_20_18_28_04.sdds/'"
@ CWD %s "/home/akoval/work_local/git/SKEKB_Kmod"
@ Date %s "14. June 2019, 13:56:13"
@ Model_directory %s "model/"
@ Q1 %le 0.543623622071511
@ Q2 %le 0.6115816841649075
@ RMSbetabeat %le 2.5071274863214987
@ RescalingFactor %le 0.6020724179838237
@ FILENAME %s "getampbetay.out"
*                 NAME                    S                COUNT                 BETY              BETYSTD              BETYMDL               MUYMDL            DELTABETY              BETYRES           BETYSTDRES
$                   %s                  %le                   %d                  %le                  %le                  %le                  %le                  %le                  %le                  %le
                MQC1LE            0.5300002                    1      0.8503387367989                    0           93.6285972            0.2490992     -0.9909179592322      0.5119654993698                    0
                MQC2LE            2.2500008                    1       9.266749304513                    0          291.1407337            0.2499778     -0.9681708938947       5.579254160618                    0
               MQLC3LE           12.9355133                    1       40.45198562345                    0            7.6774363            0.2953789       4.268944481305       24.35502479656                    0
               MQLC7LE           27.2720861                    1       36.31884528486                    0          227.9670433            0.7492946     -0.8406837902571       21.86657499904                    0
               MQLB1LE           55.2235731                    1        1.29837863999                    0          227.9626232            1.2500394     -0.9943044231472      0.7817179672376                    0
               MQLB4LE           77.1787307                    1       9.568310094096                    0           18.1118897            1.9465966      -0.471711110625       5.760815594371                    0
               MQLA2LE           98.9121927                    1        7.15726137387                    0           17.1404258            2.4533248     -0.5824338638151       4.309189661508                    0
               MQLA5LE          119.0986538                    1       1.215991110921                    0          234.1217208              2.94926     -0.9948061584941      0.7321147083991                    0
                MQD3E1          164.5639584                    1       29.49387246244                    0           20.9498176            3.4064553      0.4078343318102       17.75744710917                    0
                MQEAE4          230.8020191                    1       17.11901867398                    0            7.6858431            4.3815318       1.227344281069       10.30688896655                    0
                MQD3E4          270.0136808                    1      0.6193763470442                    0           20.9498176            5.0411482     -0.9704352391572      0.3729094149069                    0
