@ Measure_optics:version %s "0.2.0"
@ Command %s "/usr/bin/python2 '/home/akoval/work_local/git/Beta-Beat.src/measure_optics.py' '--model' 'model/' '--accel' 'skekb' '--files' 'output/harmonic_output/HER_2019_05_20_18_28_04.sdds' '--output' 'output/phase_output/HER_2019_05_20_18_28_04.sdds/'"
@ CWD %s "/home/akoval/work_local/git/SKEKB_Kmod"
@ Date %s "14. June 2019, 13:56:13"
@ Model_directory %s "model/"
@ FILENAME %s "getcoupleterms.out"
@ DQMIN %le -1.0
@ DQMINE %le 1.48323969742e-08
*                 NAME                    S                 DETC                DETCE                GAMMA               GAMMAE                  C11                  C12                  C21                  C22
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
               MQLC7LE           27.2720861                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
               MQLB1LE           55.2235731                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
               MQLB4LE           77.1787307                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
               MQLA5LE          119.0986538                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
                MQEAE4          230.8020191                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
                MQD3E4          270.0136808                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
              MQTATNE2          397.7476034                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
               MQEAE13           881.197528                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
               MQEAE16          983.8943327                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
              MQTANFE1         1107.5016074                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
               MQEAE22         1301.4735906                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
               MQEAE23         1350.1175975                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
                MQX2RE         1494.6206604                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
              MQTAFOE2         1905.3942301                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
               MQD3E33         2501.9356578                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
               MQEAE45         2784.0341494                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
               MQD3E40           2850.27221                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
               MQLB8RE         2942.8131119                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
               MQLC7RE         2989.1433603                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
                MQC2RE         3013.8146988                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
