@ Measure_optics:version %s "0.2.0"
@ Command %s "/usr/bin/python2 '/home/akoval/work_local/git/Beta-Beat.src/measure_optics.py' '--model' 'model/' '--accel' 'skekb' '--files' 'output/harmonic_output/HER_2019_05_20_18_24_42.sdds' '--output' 'output/phase_output/HER_2019_05_20_18_24_42.sdds/'"
@ CWD %s "/home/akoval/work_local/git/SKEKB_Kmod"
@ Date %s "14. June 2019, 13:53:48"
@ Model_directory %s "model/"
@ TABLE %s "ORBIT"
@ TYPE %s "ORBIT"
@ Q1 %le 0.5448251573626635
@ Q2 %le 0.612047523066663
@ FILENAME %s "getCOy.out"
*                 NAME                    S                COUNT                    Y                 STDY                 YMDL               MUYMDL               DELTAY
$                   %s                  %le                   %d                  %le                  %le                  %le                  %le                  %le
                MQC1LE            0.5300002                    1       1.004896293772                  nan                  nan            0.2490992                  nan
                MQC2LE            2.2500008                    1      0.4995057215802                  nan                  nan            0.2499778                  nan
               MQLC7LE           27.2720861                    1       1.888210704302                  nan                  nan            0.7492946                  nan
               MQLB1LE           55.2235731                    1      0.4405995673749                  nan                  nan            1.2500394                  nan
               MQLB4LE           77.1787307                    1      0.5912256439464                  nan                  nan            1.9465966                  nan
               MQLA2LE           98.9121927                    1      0.6580643456055                  nan                  nan            2.4533248                  nan
               MQLA5LE          119.0986538                    1      0.1315177092133                  nan                  nan              2.94926                  nan
                MQEAE4          230.8020191                    1      0.3418238695848                  nan                  nan            4.3815318                  nan
                MQD3E4          270.0136808                    1       1.324417129315                  nan                  nan            5.0411482                  nan
                MQEAE6          306.4724249                    1      0.9448140972986                  nan                  nan            5.5047961                  nan
              MQTATNE1          354.4092937                    1       1.243863603127                  nan                  nan            6.2268103                  nan
              MQTATNE2          397.7476034                    1      0.8128878890195                  nan                  nan            6.6685508                  nan
                MQEAE8          472.7108711                    1      -1.023927415308                  nan                  nan            7.7060253                  nan
                MQD3E8          511.9225329                    1      -0.102054154688                  nan                  nan            8.3656416                  nan
               MQEAE11          597.0252838                    1       1.161029415308                  nan                  nan            9.6370935                  nan
               MQD3E12          947.4355886                    1     0.08602252308599                  nan                  nan           13.8650143                  nan
               MQD3E14         1023.1059944                    1     -0.1410263234876                  nan                  nan           14.9882786                  nan
               MQEAE18         1059.5647385                    1       0.826835737994                  nan                  nan           15.4519265                  nan
               MQD3E16         1189.3444407                    1       1.372838444147                  nan                  nan           17.1895078                  nan
               MQEAE20         1225.8031848                    1     -0.2679721044951                  nan                  nan           17.6531557                  nan
               MQD3E18         1265.0148465                    1       1.443329502551                  nan                  nan            18.312772                  nan
               MQEAE22         1301.4735906                    1      0.2558321699146                  nan                  nan           18.7764199                  nan
               MQEAE23         1350.1175975                    1     0.06953914787024                  nan                  nan           19.5842239                  nan
                 MQI6E         1404.3012987                    1       0.108186202297                  nan                  nan           20.2018289                  nan
                 MQI5E         1418.7440064                    1        1.09770907959                  nan                  nan           20.2546404                  nan
                 MQI4E         1424.1361014                    1      0.6873838388444                  nan                  nan           20.2734103                  nan
                MQX2RE         1494.6206604                    1      0.6977993571286                  nan                  nan           21.2341795                  nan
                 MQM2E         1564.3492168                    1     0.07980114352184                  nan                  nan           22.0286912                  nan
                 MQM7E         1608.8759522                    1       1.686690846673                  nan                  nan           22.6624348                  nan
               MQD3E21         1671.2575666                    1       2.296537422661                  nan                  nan           23.4501631                  nan
               MQEAE27         1710.4692283                    1     -0.6643275417959                  nan                  nan           24.1097794                  nan
               MQD3E23         1746.9279724                    1      -1.587471636468                  nan                  nan           24.5734273                  nan
              MQTAFOE1         1861.1278611                    1     -0.6228593041271                  nan                  nan           26.2818318                  nan
              MQTAFOE2         1905.3942301                    1      0.5678216070285                  nan                  nan           26.7136413                  nan
               MQD3E29         2065.4852081                    1      0.1879702363452                  nan                  nan           29.0338813                  nan
               MQDROE5         2288.3421939                    1      0.2819302779531                  nan                  nan           32.0959819                  nan
               MQD3E33         2501.9356578                    1       0.692801532066                  nan                  nan           34.9378656                  nan
               MQEAE41         2541.1473195                    1      0.4599721648324                  nan                  nan           35.5974819                  nan
              MQTAOTE1         2616.1355465                    1     0.08324169914365                  nan                  nan             36.64627                  nan
              MQTAOTE2         2660.4019155                    1      0.9711852925713                  nan                  nan           37.0780795                  nan
               MQEAE44         2735.3901425                    1      0.4318881601051                  nan                  nan           38.1268676                  nan
               MQEAE45         2784.0341494                    1      0.3081213951557                  nan                  nan           38.9346716                  nan
               MQD3E40           2850.27221                    1      -1.118527380765                  nan                  nan           39.9097482                  nan
               MQLB1RE         2960.9918734                    1     -0.4195436250398                  nan                  nan           42.3540933                  nan
               MQLC7RE         2989.1433603                    1      0.8495745263064                  nan                  nan            42.854773                  nan
               MQLC3RE         3003.3799331                    1      -1.324999692296                  nan                  nan           43.3284036                  nan
                MQC2RE         3013.8146988                    1     -0.6142480199251                  nan                  nan           43.3540103                  nan
                MQC1RE         3015.7846995                    1      0.2421458053999                  nan                  nan           43.3550008                  nan
