@ ErrorsFrom: %s "Analytical N-BPM method"
@ RCond %le 1e-10
@ RangeOfBPMs %d 11
@ Measure_optics:version %s "0.2.0"
@ FILENAME %s "getbetay.out"
@ Model_directory %s "model/"
@ CALCULATION_TIME %s "0.94 s"
@ Command %s "/usr/bin/python2 '/home/akoval/work_local/git/Beta-Beat.src/measure_optics.py' '--model' 'model/' '--accel' 'skekb' '--files' 'output/harmonic_output/HER_2019_05_20_18_26_17.sdds' '--output' 'output/phase_output/HER_2019_05_20_18_26_17.sdds/'"
@ RMS_BETABEAT %s "203.833 %"
@ Date %s "14. June 2019, 13:54:59"
@ BetaAlgorithmVersion %s "2018.7.a"
@ CWD %s "/home/akoval/work_local/git/SKEKB_Kmod"
*                 NAME                    S              BETYMDL              ALFYMDL                 BETY             STATBETY              SYSBETY              ERRBETY                 ALFY             STATALFY              SYSALFY              ERRALFY                 CORR                NCOMB               BBEATY            DELTABETY
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                   %d                  %le                  %le
                MQC1LE            0.5300002           93.6285972         -176.6390896        1313.62438218                    0                    0       5185.359380442      -2473.882879936                    0                    0       19531.03813405                    0                    1       13.03016195334       13.03016195334
                MQC2LE            2.2500008          291.1407337             168.5324       456.3119265896                    0                    0       1357.416464254       264.7004669908                    0                    0       1575.212096595                    0                    3      0.5673242311045      0.5673242311045
               MQLC7LE           27.2720861          227.9670433            2.7768696       323.9694784909                    0                    0        664.800414241       4.425060763911                    0                    0       18.88394548466                    0                    6      0.4211241844489      0.4211241844489
               MQLB1LE           55.2235731          227.9626232           -2.7726728       212.1639761859                    0                    0       338.8116933566      -2.332238032872                    0                    0       7.529230371806                    0                   10    -0.06930367264723    -0.06930367264723
               MQLA2LE           98.9121927           17.1404258            6.7980612       39.39846365002                    0                    0       21.99581851946       15.18385961043                    0                    0        16.3977183056                    0                   30       1.298569715229       1.298569715229
               MQLA5LE          119.0986538          234.1217208           14.3138633       251.4832948598                    0                    0       271.2581294139       15.40291983215                    0                    0       31.80368708024                    0                   31     0.07415618679243     0.07415618679243
                MQD3E1          164.5639584           20.9498176            1.7084092       20.77860700313                    0                    0        22.0375193443       1.503753622641                    0                    0       3.015595164184                    0                   42   -0.008172414678563   -0.008172414678563
                MQEAE4          230.8020191            7.6858431            1.2526734       7.088650074499                    0                    0       7.487112057692       1.064343311123                    0                    0       2.442261854038                    0                   44    -0.07770039249192    -0.07770039249192
                MQD3E4          270.0136808           20.9498176           -1.7084092       35.02273091679                    0                    0       18.81031996736      -3.009749669611                    0                    0       3.642679972604                    0                   44      0.6717439543145      0.6717439543145
              MQTATNE2          397.7476034           14.5078121            1.2253565       20.23964670931                    0                    0       15.21528396746       2.195698499604                    0                    0       2.855593592362                    0                   43      0.3950860798171      0.3950860798171
                MQD3E8          511.9225329           20.9498176           -1.7084092       16.73170439982                    0                    0       23.11528094267      -1.545422555204                    0                    0       3.500968876728                    0                   28     -0.2013436718504     -0.2013436718504
               MQEAE10          548.3812769            7.6858431            1.2526734       7.917808827406                    0                    0       7.869848897231       0.991763761036                    0                    0       3.472810123634                    0                   21      0.0301809085078      0.0301809085078
               MQFRNE3          753.3246054            9.2517568           -0.6740695       10.21232528876                    0                    0       8.486299933952      -1.016617368875                    0                    0       1.839237002862                    0                   43      0.1038255230357      0.1038255230357
               MQD3E12          947.4355886           20.9498176           -1.7084092       13.33288965036                    0                    0       19.88068130134      -1.026393141833                    0                    0       3.500191977799                    0                   21     -0.3635796785954     -0.3635796785954
               MQEAE16          983.8943327            7.6858431            1.2526734       5.843989052463                    0                    0        6.33431312486      0.7734083317169                    0                    0       2.135098691369                    0                   26     -0.2396424209514     -0.2396424209514
               MQD3E14         1023.1059944           20.9498176           -1.7084092       25.18402635634                    0                    0       17.32065759066      -2.262576417546                    0                    0       3.177465170888                    0                   33      0.2021119628431      0.2021119628431
               MQEAE18         1059.5647385            7.6858431            1.2526734       8.941112634835                    0                    0       7.328872109117       1.028867281756                    0                    0       2.274354188631                    0                   32      0.1633222950954      0.1633222950954
              MQTANFE1         1107.5016074           14.5078121           -1.2253565        15.7485933793                    0                    0       14.99147105872     -0.9060392622614                    0                    0       2.465413254659                    0                   34     0.08552504476568     0.08552504476568
               MQD3E16         1189.3444407           20.9498176           -1.7084092       22.27119381687                    0                    0       21.08735145417      -1.514080277341                    0                    0       3.204229004521                    0                   42     0.06307339959229     0.06307339959229
               MQEAE20         1225.8031848            7.6858431            1.2526734       8.957305030152                    0                    0       6.697687091082       1.685531696217                    0                    0       2.829535981388                    0                   35      0.1654290770198      0.1654290770198
               MQD3E18         1265.0148465           20.9498176           -1.7084092        16.6043972524                    0                    0       17.01866557788      -1.203549356942                    0                    0       3.131280529993                    0                   35      -0.207420438238      -0.207420438238
               MQEAE22         1301.4735906            7.6858431            1.2526734       4.575724003695                    0                    0       7.208330112679      0.5979001045663                    0                    0       2.322834219444                    0                   26     -0.4046555538331     -0.4046555538331
