@ Measure_optics:version %s "0.2.0"
@ Command %s "/usr/bin/python2 '/home/akoval/work_local/git/Beta-Beat.src/measure_optics.py' '--model' 'model/' '--accel' 'skekb' '--files' 'output/harmonic_output/HER_2019_05_20_18_21_34.sdds' '--output' 'output/phase_output/HER_2019_05_20_18_21_34.sdds/'"
@ CWD %s "/home/akoval/work_local/git/SKEKB_Kmod"
@ Date %s "14. June 2019, 13:53:20"
@ Model_directory %s "model/"
@ FILENAME %s "getcouple.out"
@ CG %le nan
@ CG_std %le nan
@ QG %le nan
@ Q1F %le 0.5437808804848574
@ Q2F %le 0.6115570461001769
*                 NAME                    S                COUNT               F1001W               FWSTD1               F1001R               F1001I               F1010W               FWSTD2               F1010R               F1010I                Q1001             Q1001STD                Q1010             Q1010STD            MDLF1001R            MDLF1001I            MDLF1010R            MDLF1010I
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
              "MQC2LE"            2.2500008                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.8423448444855      0.2201875802375      0.8723303861344      0.1456797589452                  nan                  nan                  nan                  nan
             "MQLA2LE"           98.9121927                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.6720196003495      0.1790473717675      0.6430506236078       0.120044481105                  nan                  nan                  nan                  nan
              "MQEAE4"          230.8020191                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan       0.281073196834     0.08910003210469     0.05757661803775      0.1664852349975                  nan                  nan                  nan                  nan
            "MQTATNE1"          354.4092937                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan       0.634747530474      0.1811539891721      0.8774297763527      0.1543739580018                  nan                  nan                  nan                  nan
            "MQTATNE2"          397.7476034                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.6058947961806     0.01812484832625      0.8177597919064     0.09498663209996                  nan                  nan                  nan                  nan
             "MQR2NE1"          696.7698054                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan       0.413341274679      0.1020100219041     0.06772476978892      0.1362973860581                  nan                  nan                  nan                  nan
             "MQD3E14"         1023.1059944                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.5887189830717     0.03553422875269      0.0357414077265      0.1625367720323                  nan                  nan                  nan                  nan
             "MQD3E16"         1189.3444407                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.5523400585152      0.1273556321301      0.0819508807744     0.07680917397283                  nan                  nan                  nan                  nan
               "MQI5E"         1418.7440064                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.6948135225214      0.2040613446594      0.6438692708279     0.06402242814151                  nan                  nan                  nan                  nan
             "MQD3E23"         1746.9279724                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.1475135489607      0.1669139298645      0.1525640313086      0.1600275998183                  nan                  nan                  nan                  nan
            "MQTAFOE1"         1861.1278611                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.8440557801029      0.1672449663143      0.8318901427097      0.1133326837067                  nan                  nan                  nan                  nan
             "MQEAE35"         2104.6968698                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.1315775943129     0.00331242423074      0.3001048158483     0.09904273397546                  nan                  nan                  nan                  nan
             "MQDROE5"         2288.3421939                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.7893284801292      0.1434232880147      0.6597060776645     0.05677929602158                  nan                  nan                  nan                  nan
             "MQEAE39"         2465.4769137                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.5507826760599     0.02431376964602     0.03896365300151      0.1788695808285                  nan                  nan                  nan                  nan
             "MQEAE44"         2735.3901425                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan       0.629616116072      0.1880266348441      0.7614684935533    0.002613182532363                  nan                  nan                  nan                  nan
             "MQLB1RE"         2960.9918734                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.7355511986768     0.08086998526082       0.764661292399     0.08053084637697                  nan                  nan                  nan                  nan
             "MQLC3RE"         3003.3799331                    1                  nan                  nan                  nan                  nan                  nan                  nan                  nan                  nan      0.3525083744411     0.09609736723879       0.300593530475      0.1406267640186                  nan                  nan                  nan                  nan
