@ Measure_optics:version %s "0.2.0"
@ Command %s "/usr/bin/python2 '/home/akoval/work_local/git/Beta-Beat.src/measure_optics.py' '--model' 'model/' '--accel' 'skekb' '--files' 'output/harmonic_output/HER_2019_05_20_18_28_32.sdds' '--output' 'output/phase_output/HER_2019_05_20_18_28_32.sdds/'"
@ CWD %s "/home/akoval/work_local/git/SKEKB_Kmod"
@ Date %s "14. June 2019, 13:56:43"
@ Model_directory %s "model/"
@ FILENAME %s "getcoupleterms.out"
@ DQMIN %le -1.0
@ DQMINE %le 1.48323969742e-08
*                 NAME                    S                 DETC                DETCE                GAMMA               GAMMAE                  C11                  C12                  C21                  C22
$                   %s                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le                  %le
              MQTATNE2          397.7476034                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
               MQEAE10          548.3812769                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
               MQDRNE5          781.6020054                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
               MQD3E12          947.4355886                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
               MQD3E18         1265.0148465                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
               MQD3E21         1671.2575666                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
               MQEAE29         1786.1396341                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
              MQTAFOE1         1861.1278611                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
               MQEAE45         2784.0341494                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
               MQD3E40           2850.27221                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
               MQLA2RE         2920.9780873                  nan                   -1                   -1                   -1                   -1                   -1                   -1                   -1
